registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/alertmanager,v0.20.0-build.3-s390x,sha256:d9ddb7ed15734e7f25adccdd4bf57e56e23365f2d24230e0d7f8c5ad31c936ca,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/prometheus,v2.15.2-build.3,sha256:efd42bc1d24b298c11234ad42d89bf3f76889e184f65d392dddbcd5051ed36d8,LIST,"","","",0,CASE
quay.io,opencloudio/prometheus,v2.15.2-build.3-ppc64le,sha256:7591810a327a934a4c727bafb8f508aed041578f67866a5cfb78a3f32ebaaecb,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/prometheus,v2.15.2-build.3-amd64,sha256:cce4249e3eb29dc541599d236e2cf2f9b05e74cd058796cb7d1c6de664f4ed6f,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/prometheus,v2.15.2-build.3-s390x,sha256:4cdf86fcaa818711a9e81d6231f23d0961f587ba928f4b451b8e2421d96c5296,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/configmap-reload,v0.2.2-build.5,sha256:02233bcce274ca6fcdba80fe31b559caac3cfabdf6d63580eaf498533f2cf80b,LIST,"","","",0,CASE
quay.io,opencloudio/configmap-reload,v0.2.2-build.5-ppc64le,sha256:f1f5a59ee8eb07ccda3d7a56bbc3b087da37f23fa78d315ee979b75a10cd19f6,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/configmap-reload,v0.2.2-build.5-amd64,sha256:fb471d5539671debbdc517e2a9db6507d91c1047260193c435f9316152eb97bf,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/configmap-reload,v0.2.2-build.5-s390x,sha256:ab839614b20f50278589c68118aa63087c497ac733274822d072755c54c8e6b0,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/prometheus-operator,v0.34-build.3,sha256:ee2e9f5d6d06603e159a22ccfed8d9572828859559758fbcb2604a5e5c8d1f27,LIST,"","","",0,CASE
quay.io,opencloudio/prometheus-operator,v0.34-build.3-ppc64le,sha256:2cad188a22d0f7da6be5cd627598e217a9dd416db388cd43c4d168b290dc50a2,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/prometheus-operator,v0.34-build.3-amd64,sha256:77fa87fae19c3d662d1fee54ff759f5b378418608d35d2a40d59237016ed1078,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/prometheus-operator,v0.34-build.3-s390x,sha256:db77e6f95b9183e623d764e140234d4e91b0bf35631edc0b63f187785e7b03d0,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/prometheus-config-reloader,v0.34-build.3,sha256:bdfd86417fd21276b8bc4abdc2ea2d1bc8f1b6297c2af6b2c4842d72b683b327,LIST,"","","",0,CASE
quay.io,opencloudio/prometheus-config-reloader,v0.34-build.3-ppc64le,sha256:fad72aae5066afbfb3456f352e314a46f25171250e3d57fba4d947aee58ec72a,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/prometheus-config-reloader,v0.34-build.3-amd64,sha256:d745778c49daa971709695815b26869ca3313e07430542c2dd837ec03aa68c3f,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/prometheus-config-reloader,v0.34-build.3-s390x,sha256:1619a907a8cd46639473a7b10a5a70398766f3aec20c67e4022c98f8a0c973fb,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/prometheus-controller,v1.1.0-build.5,sha256:0c107f53b4156012e55f88e4917c6c98209d5693dfbec96171019bae9ec779ad,LIST,"","","",0,CASE
quay.io,opencloudio/prometheus-controller,v1.1.0-build.5-ppc64le,sha256:7bd3286dd2485a758891affe3e8574f73aaca057a092ee155c20af2bc5781d9c,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/prometheus-controller,v1.1.0-build.5-amd64,sha256:ef34727f86850b223495e88869e65f9f453f0b3458be188ca8444d4c15d5d5f6,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/prometheus-controller,v1.1.0-build.5-s390x,sha256:2bc6f2af1fe76eaec212d38e9598bb032d9ad492c13b5c1f980833b3173ccaa4,IMAGE,linux,s390x,"",0,CASE
